기간	자치구	구분	전체	안전벨트(좌석안전띠)	안전벨트(좌석안전띠)	안전벨트(좌석안전띠)	안전벨트(좌석안전띠)	안전모(헬맷)	안전모(헬맷)	안전모(헬맷)	안전모(헬맷)
기간	자치구	구분	전체	착용	착용	미착용	착용불명	착용	착용	미착용	착용불명
기간	자치구	구분	전체	계	착용률(%)	미착용	착용불명	계	착용률(%)	미착용	착용불명
2019	전체	사망자수	250	12	75	4	7	44	62	27	9
2019	전체	부상자수	53,904	16,490	85.8	2,738	11,173	6,657	75.8	2,131	2,129
2019	종로구	사망자수	6	-	-	-	-	-	-	3	-
2019	종로구	부상자수	1,559	506	79.2	133	274	220	88	30	59
2019	중구	사망자수	5	1	100	-	-	-	-	-	-
2019	중구	부상자수	1,615	631	88.7	80	216	218	90.5	23	53
2019	용산구	사망자수	10	1	100	-	1	2	100	-	-
2019	용산구	부상자수	1,614	265	90.1	29	761	138	90.2	15	109
2019	성동구	사망자수	13	1	100	-	-	2	50	2	-
2019	성동구	부상자수	1,439	727	92.4	60	47	286	79.9	72	9
2019	광진구	사망자수	3	-	-	-	-	-	-	-	-
2019	광진구	부상자수	1,316	440	86.8	67	237	169	72.5	64	55
2019	동대문구	사망자수	15	-	-	-	-	5	71.4	2	2
2019	동대문구	부상자수	1,988	279	75.4	91	424	352	76.7	107	172
2019	중랑구	사망자수	12	1	100	-	-	2	66.7	1	-
2019	중랑구	부상자수	2,122	535	85.6	90	275	342	74.8	115	109
2019	성북구	사망자수	8	1	100	-	-	1	33.3	2	-
2019	성북구	부상자수	2,007	647	81.7	145	269	334	82.7	70	76
2019	강북구	사망자수	7	-	-	-	-	2	50	2	1
2019	강북구	부상자수	1,706	464	78.5	127	220	270	76.3	84	106
2019	도봉구	사망자수	4	-	-	-	-	-	-	1	1
2019	도봉구	부상자수	1,163	282	77.7	81	188	155	64.6	85	76
2019	노원구	사망자수	8	-	-	-	-	1	100	-	-
2019	노원구	부상자수	2,302	779	86.9	117	435	297	67	146	56
2019	은평구	사망자수	7	-	-	-	-	2	50	2	-
2019	은평구	부상자수	1,464	304	72.9	113	252	177	66.8	88	63
2019	서대문구	사망자수	14	1	100	-	-	3	60	2	-
2019	서대문구	부상자수	1,609	513	71	210	249	186	77.8	53	59
2019	마포구	사망자수	7	1	100	-	-	1	50	1	-
2019	마포구	부상자수	2,123	831	88.8	105	337	262	81.9	58	56
2019	양천구	사망자수	11	-	-	1	2	1	100	-	-
2019	양천구	부상자수	2,085	535	87.8	74	472	142	66.7	71	113
2019	강서구	사망자수	20	1	100	-	-	5	100	-	1
2019	강서구	부상자수	2,491	472	85	83	827	235	72.3	90	188
2019	구로구	사망자수	13	-	-	1	-	3	75	1	-
2019	구로구	부상자수	2,096	545	83.8	105	546	215	67.8	102	87
2019	금천구	사망자수	9	-	-	-	2	-	-	2	-
2019	금천구	부상자수	1,353	344	85.4	59	367	177	80.8	42	68
2019	영등포구	사망자수	11	2	66.7	1	-	-	-	1	-
2019	영등포구	부상자수	3,451	1,090	83.3	218	551	465	69.9	200	67
2019	동작구	사망자수	5	-	-	-	-	2	100	-	-
2019	동작구	부상자수	2,021	628	84.2	118	394	293	83.5	58	61
2019	관악구	사망자수	10	-	-	-	-	4	100	-	-
2019	관악구	부상자수	1,755	663	87.5	95	101	380	86.2	61	25
2019	서초구	사망자수	14	-	-	-	-	3	100	-	1
2019	서초구	부상자수	3,530	1,250	88.5	162	1,101	262	80.6	63	97
2019	강남구	사망자수	14	-	-	-	1	3	100	-	2
2019	강남구	부상자수	5,182	1,568	94.1	98	1,739	444	85.2	77	198
2019	송파구	사망자수	13	2	66.7	1	1	1	25	3	-
2019	송파구	부상자수	4,003	1,465	90	163	721	462	65.6	242	152
2019	강동구	사망자수	11	-	-	-	-	1	33.3	2	1
2019	강동구	부상자수	1,910	727	86.3	115	170	176	60.5	115	15
