기간	자치구	구분	합계	사업용차량	사업용차량	사업용차량	사업용차량	사업용차량	사업용차량	사업용차량	사업용차량	비사업용차량	비사업용차량	비사업용차량	비사업용차량	비사업용차량	이륜차	자전거	기타불명
기간	자치구	구분	합계	계	노선버스	노선버스	전세버스	택시	화물	렌터카	기타	계	승용차	버스	어린이통학버스	기타	이륜차	자전거	기타불명
기간	자치구	구분	합계	계	시내버스	시외·고속버스	전세버스	택시	화물	렌터카	기타	계	승용차	버스	어린이통학버스	기타	이륜차	자전거	기타불명
2019	합계	발생건수	39,258	11,591	1,577	238	225	6,325	912	2,038	276	20,208	17,062	273	85	2,788	4,759	1,766	934
2019	합계	사망자수	250	90	13	4	2	38	9	8	16	98	65	1	2	30	50	11	1
2019	합계	부상자수	53,904	16,517	2,133	420	419	8,931	1,240	3,007	367	28,440	24,325	350	105	3,660	6,010	1,950	987
2019	종로구	발생건수	1,133	432	63	8	21	247	16	73	4	505	425	1	2	77	138	19	39
2019	종로구	사망자수	6	1	-	-	-	1	-	-	-	2	1	-	-	1	2	1	-
2019	종로구	부상자수	1,559	605	91	11	28	344	20	103	8	720	599	2	3	116	173	18	43
2019	중구	발생건수	1,184	479	56	12	14	280	23	87	7	504	417	11	-	76	148	23	30
2019	중구	사망자수	5	3	1	1	-	-	-	-	1	2	1	-	-	1	-	-	-
2019	중구	부상자수	1,615	653	66	12	21	394	27	127	6	736	629	16	-	91	171	25	30
2019	용산구	발생건수	1,187	434	25	2	9	295	32	66	5	577	505	5	2	65	108	22	46
2019	용산구	사망자수	10	4	-	-	-	3	1	-	-	4	2	-	1	1	2	-	-
2019	용산구	부상자수	1,614	604	29	5	10	424	41	90	5	810	715	5	1	89	127	23	50
2019	성동구	발생건수	1,091	310	28	-	3	188	29	55	7	540	438	10	1	91	142	63	36
2019	성동구	사망자수	13	5	-	-	-	2	1	2	-	4	3	-	-	1	4	-	-
2019	성동구	부상자수	1,439	456	33	-	3	286	42	83	9	711	581	16	3	111	164	68	40
2019	광진구	발생건수	973	324	29	6	5	195	22	56	11	450	391	7	1	51	122	61	16
2019	광진구	사망자수	3	2	1	-	-	-	1	-	-	1	1	-	-	-	-	-	-
2019	광진구	부상자수	1,316	467	43	7	10	290	28	70	19	613	544	10	1	58	154	65	17
2019	동대문구	발생건수	1,565	427	55	6	3	256	44	55	8	741	582	12	2	145	265	110	22
2019	동대문구	사망자수	15	5	-	-	-	5	-	-	-	4	4	-	-	-	5	1	-
2019	동대문구	부상자수	1,988	550	67	8	6	333	55	70	11	966	761	15	2	188	328	120	24
2019	중랑구	발생건수	1,620	383	51	-	5	218	42	53	14	822	670	12	4	136	254	99	62
2019	중랑구	사망자수	12	4	-	-	-	2	-	-	2	4	2	1	-	1	1	2	1
2019	중랑구	부상자수	2,122	508	59	-	7	296	58	74	14	1,110	931	11	8	160	330	105	69
2019	성북구	발생건수	1,509	440	69	-	2	244	35	73	17	781	643	17	7	114	239	37	12
2019	성북구	사망자수	8	3	-	-	-	1	-	-	2	3	1	-	-	2	2	-	-
2019	성북구	부상자수	2,007	595	98	-	4	338	45	89	21	1,071	902	22	7	140	290	39	12
2019	강북구	발생건수	1,277	357	85	3	1	189	26	50	3	637	513	7	1	116	207	57	19
2019	강북구	사망자수	7	-	-	-	-	-	-	-	-	1	-	-	-	1	4	2	-
2019	강북구	부상자수	1,706	508	107	3	1	259	34	101	3	854	705	10	1	138	263	62	19
2019	도봉구	발생건수	852	210	48	-	3	107	18	29	5	420	351	4	-	65	145	62	15
2019	도봉구	사망자수	4	1	-	-	-	-	-	1	-	1	1	-	-	-	2	-	-
2019	도봉구	부상자수	1,163	305	72	-	7	159	23	38	6	579	488	4	-	87	186	77	16
2019	노원구	발생건수	1,703	410	68	8	5	226	43	50	10	930	784	13	3	130	198	119	46
2019	노원구	사망자수	8	6	2	-	-	-	2	1	1	2	1	-	-	1	-	-	-
2019	노원구	부상자수	2,302	557	87	11	7	317	56	67	12	1,329	1,124	17	7	181	244	126	46
2019	은평구	발생건수	1,119	318	67	9	11	148	27	47	9	561	456	11	3	91	150	62	28
