created,tweet_text
2020-11-19 08:37:57,에휴... 나 진짜 잣작 처먹어얃ㅁ 글두 배민 끊고 야식도 안먹고 있음 하지만 몸은 그대로씹
2020-11-19 08:34:54,"RT @Park_Youngsun: 배민 겨냥했나..박영선, '수수료·독점' 없는 경제모델 제시(뉴시스)
- “ 플랫폼 독점 아닌 개별 경제주체들이 블록체인 등 연결 기술을 통해 거래하는 프로토콜 경제를 통해 수수료 제로(0)와 독점 문제를 해결할 수…"
2020-11-19 08:31:06,배민현대카드 만들까봐 ㅋㅋ 존나 배달음식 개마니시켜먹는대...
2020-11-19 08:30:46,"RT @pcwgood: 배민을 잡는다기보다 경쟁을 통해 배민의 수수료를 합리적인 수준으로 낮출 수 있게 해야한다.  지금 배민은 특별한 기술과 수고 없이 중계수수료로 10%이상을 받아먹는 거머리같은 존재다. 2-3%의 수수료가 적정하다.
시장에 맡기…"
2020-11-19 08:29:23,핫핫하 배민 쓴 적이 없길래 첫주문 쿠폰 받아서 썼다
2020-11-19 08:28:42,배민에서 나오는 카드 선호한테 추천해주고 싶어 ♥! 떡볶이 왕왕 좋아하는 울 배우 ♥ https://t.co/H02gVR90z9
2020-11-19 08:28:21,RT @Fromaple_1: 아시발.. 내 배민 리뷰보는중..무슨.협찬받았나.. https://t.co/dxmxSbFM3z
2020-11-19 08:27:47,RT @Fromaple_1: 아시발.. 내 배민 리뷰보는중..무슨.협찬받았나.. https://t.co/dxmxSbFM3z
2020-11-19 08:26:50,ㅇㄱㅇ망했으면 좋겠다... 여러분 제발 배달어플은 쿠팡이츠나 배민 써...
2020-11-19 08:26:33,배민을 잡는다기보다 경쟁을 통해 배민의 수수료를 합리적인 수준으로 낮출 수 있게 해야한다.  지금 배민은 특별한 기술과 수고 없이 중계수수료로 10%이상을 받아먹는 거머리같은 존재다. 2-3%의 수수료가 적… https://t.co/dKlkgRVNBZ
2020-11-19 08:25:17,"RT @Park_Youngsun: 배민 겨냥했나..박영선, '수수료·독점' 없는 경제모델 제시(뉴시스)
- “ 플랫폼 독점 아닌 개별 경제주체들이 블록체인 등 연결 기술을 통해 거래하는 프로토콜 경제를 통해 수수료 제로(0)와 독점 문제를 해결할 수…"
2020-11-19 08:25:03,"난 지금도 그래,,,,,,배민 어플 생기면서 더 전화를 못하겠음"
2020-11-19 08:24:40,아 어이 없어 배민 리뷰에 마늘 후레이크가 신의 한수라고 쓰려고 했는데 후레 들어가서 입력할 수 없대ㅋㅋㅋㅋㅋㅋㅋ
2020-11-19 08:22:44,배민에선 주문비 3천원인데요~ 아오 싯팔 그건 기본이고요 거리따라 가격더올라간다고!!!!!!!!몇번말하냐고!!!!!!!!!!!!!!
2020-11-19 08:21:55,[BBQ] 배민으로 즐기는 닭 다리가 달달하네요~ https://t.co/gUOgu59os2
2020-11-19 08:37:57,에휴... 나 진짜 잣작 처먹어얃ㅁ 글두 배민 끊고 야식도 안먹고 있음 하지만 몸은 그대로씹
2020-11-19 08:34:54,"RT @Park_Youngsun: 배민 겨냥했나..박영선, '수수료·독점' 없는 경제모델 제시(뉴시스)
- “ 플랫폼 독점 아닌 개별 경제주체들이 블록체인 등 연결 기술을 통해 거래하는 프로토콜 경제를 통해 수수료 제로(0)와 독점 문제를 해결할 수…"
2020-11-19 08:31:06,배민현대카드 만들까봐 ㅋㅋ 존나 배달음식 개마니시켜먹는대...
2020-11-19 08:30:46,"RT @pcwgood: 배민을 잡는다기보다 경쟁을 통해 배민의 수수료를 합리적인 수준으로 낮출 수 있게 해야한다.  지금 배민은 특별한 기술과 수고 없이 중계수수료로 10%이상을 받아먹는 거머리같은 존재다. 2-3%의 수수료가 적정하다.
시장에 맡기…"
2020-11-19 08:29:23,핫핫하 배민 쓴 적이 없길래 첫주문 쿠폰 받아서 썼다
2020-11-19 08:28:42,배민에서 나오는 카드 선호한테 추천해주고 싶어 ♥! 떡볶이 왕왕 좋아하는 울 배우 ♥ https://t.co/H02gVR90z9
2020-11-19 08:28:21,RT @Fromaple_1: 아시발.. 내 배민 리뷰보는중..무슨.협찬받았나.. https://t.co/dxmxSbFM3z
2020-11-19 08:27:47,RT @Fromaple_1: 아시발.. 내 배민 리뷰보는중..무슨.협찬받았나.. https://t.co/dxmxSbFM3z
2020-11-19 08:26:50,ㅇㄱㅇ망했으면 좋겠다... 여러분 제발 배달어플은 쿠팡이츠나 배민 써...
2020-11-19 08:26:33,배민을 잡는다기보다 경쟁을 통해 배민의 수수료를 합리적인 수준으로 낮출 수 있게 해야한다.  지금 배민은 특별한 기술과 수고 없이 중계수수료로 10%이상을 받아먹는 거머리같은 존재다. 2-3%의 수수료가 적… https://t.co/dKlkgRVNBZ
