"1";"gyro_xout";"gyro_yout";"gyro_zout";"accel_xout";"accel_yout";"accel_zout"
"14731";"151";"381";"160";"3592";"-1252";"14984"
"14732";"155";"429";"128";"3220";"-1748";"14896"
"14733";"47";"357";"99";"3332";"-1796";"15708"
"14734";"289";"472";"165";"3324";"-848";"14880"
"14735";"149";"390";"155";"3484";"-1724";"15004"
"14736";"120";"364";"157";"3440";"-1576";"15584"
"14737";"394";"375";"127";"3372";"-1532";"14980"
"14738";"170";"415";"138";"3576";"-1548";"15364"
"14739";"140";"395";"168";"3680";"-1148";"14368"
"14740";"238";"362";"144";"3588";"-1392";"14784"
"14741";"74";"488";"85";"3160";"-1180";"15268"
"14742";"239";"354";"159";"3508";"-1452";"15140"
"14743";"149";"489";"95";"3320";"-1844";"14992"
"14744";"217";"400";"146";"3372";"-1508";"16244"
"14745";"589";"371";"122";"3604";"-2692";"13804"
"14746";"213";"339";"197";"3384";"-1524";"15280"
"14747";"156";"390";"105";"3668";"-1280";"16960"
"14748";"114";"412";"158";"3756";"-2220";"13604"
"14749";"141";"402";"117";"3528";"-1476";"15292"
"14750";"175";"446";"114";"3488";"-1592";"15084"
"14751";"100";"393";"207";"3396";"-1336";"15120"
"14752";"103";"426";"133";"3536";"-1596";"15108"
"14753";"428";"464";"143";"3372";"-1808";"15828"
"14754";"164";"429";"146";"3388";"-1608";"15396"
"14755";"93";"377";"156";"3688";"-1432";"16872"
"14756";"175";"436";"100";"3152";"-1680";"15304"
"14757";"190";"387";"181";"3512";"-1324";"15240"
"14758";"165";"432";"105";"3188";"-1400";"14968"
"14759";"186";"389";"157";"3476";"-1456";"14952"
"14760";"196";"434";"179";"3464";"-1792";"15104"
"14761";"150";"371";"135";"3380";"-1292";"15312"
"14762";"160";"379";"145";"3436";"-1392";"15296"
"14763";"137";"388";"114";"3428";"-1536";"15136"
"14764";"146";"410";"141";"3508";"-1436";"15104"
"14765";"171";"399";"135";"3440";"-1528";"15192"
"14766";"170";"409";"177";"3448";"-1472";"15180"
"14767";"163";"403";"112";"3352";"-1456";"15112"
