"1";"gyro_xout";"gyro_yout";"gyro_zout";"accel_xout";"accel_yout";"accel_zout"
"88";"174";"298";"83";"-684";"604";"16356"
"89";"198";"300";"98";"-692";"636";"16284"
"90";"164";"264";"101";"-728";"572";"16136"
"91";"175";"295";"105";"-668";"668";"16440"
"92";"157";"280";"83";"-748";"760";"16632"
"93";"-699";"-1205";"143";"1120";"-1508";"16388"
"94";"328";"-592";"-393";"692";"952";"16620"
"95";"-3128";"-7668";"1003";"3788";"-2496";"14556"
"96";"-1865";"-4233";"-945";"9436";"-1348";"14560"
"97";"3089";"7386";"373";"8204";"-2924";"13472"
"98";"28";"472";"159";"1720";"248";"16328"
"99";"960";"1893";"-12374";"1676";"-1752";"15748"
"100";"14";"-1449";"3803";"-292";"-332";"17308"
"101";"4216";"9778";"894";"-1644";"1456";"16868"
"102";"-655";"602";"-4784";"-9268";"5832";"11844"
"103";"1463";"3328";"-1412";"-10848";"3756";"11280"
"104";"-746";"-548";"-186";"-11068";"4092";"11732"
"105";"-729";"-2434";"-1373";"-9748";"984";"12892"
"106";"-893";"-2887";"342";"-6108";"912";"14612"
"107";"-240";"-625";"210";"-3560";"-540";"16120"
"108";"210";"-1724";"-376";"-2776";"-800";"15692"
"109";"645";"206";"821";"-1364";"184";"17108"
"110";"-533";"1386";"1324";"404";"-92";"16456"
"111";"-1578";"1072";"-1638";"752";"-3412";"18476"
"112";"346";"-225";"1616";"-448";"-540";"16216"
"113";"-72";"390";"262";"84";"-432";"16428"
"114";"155";"317";"318";"120";"-276";"16144"
"115";"162";"283";"92";"172";"-268";"16608"
