SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1607733814.1202931, -0.060005, -3.690063, -8.886828, -0.555896, 0.247031, -0.007253, 192.771835, -54.843979, -853.298401
1607733814.159082, 0.582838, -3.497480, -10.024822, -1.203085, 0.372608, -0.288742, 193.867874, -53.559296, -852.873901
1607733814.221262, 0.281169, -3.253720, -8.023419, -1.215578, 1.238695, -0.135445, 192.906555, -51.582779, -852.910706
1607733814.288156, 1.301249, -1.043872, -9.865458, -0.928191, -0.924168, 0.365174, 193.061295, -47.107422, -849.398682
1607733814.368943, 1.885135, -2.220323, -8.957756, -0.650954, 0.147736, 0.400463, 196.016037, -48.746979, -847.385010
1607733814.454368, 0.164152, -2.292897, -8.672846, 1.274801, 0.664705, -0.144582, 191.952972, -46.854919, -847.622437
1607733814.5657902, -1.104625, -0.908450, -8.207323, 0.298883, -0.586106, -0.253845, 191.653030, -47.717957, -848.824036
1607733814.6408849, 0.470311, -2.223914, -8.252364, -0.227455, 0.933730, 0.010545, 191.230164, -49.165634, -849.846069
1607733814.714386, 0.149638, -1.603517, -9.460239, -0.013500, -0.254399, -0.195046, 191.784470, -48.803665, -849.537537
1607733814.782442, 0.885106, -1.667113, -9.776274, -0.054745, 0.269105, 0.018761, 192.433090, -47.855347, -848.026123
1607733814.85181, 0.151733, -1.403750, -9.392453, -0.344435, -0.117503, -0.016728, 191.877457, -47.496475, -847.902466
1607733814.919949, 0.951246, -1.634940, -9.743204, -0.066666, -0.613008, -0.028614, 192.904816, -47.153778, -847.371155
1607733814.988415, 0.536600, -1.318607, -10.377368, 0.038542, 0.008531, -0.001954, 192.744904, -45.956390, -847.292358
1607733815.0568519, 0.318878, -0.975637, -10.262446, -0.177288, 0.044006, 0.075119, 190.818130, -45.534943, -847.716858
1607733815.1168919, 0.361375, -1.025167, -10.027066, -0.156821, 0.468840, 0.126190, 191.541885, -45.658356, -847.510864
1607733815.186239, 0.295534, -1.212663, -9.784953, -0.013030, 0.449933, 0.089003, 191.411591, -45.612244, -846.672913
1607733815.259157, 0.317531, -1.147571, -9.824756, 0.153744, 0.036992, -0.010937, 192.532074, -45.403290, -845.735474
1607733815.354881, 0.341323, -0.929698, -9.594913, -0.031437, 0.237272, 0.088046, 191.996872, -45.659500, -846.805237
1607733815.426065, 0.641047, -0.791284, -10.051008, 0.086982, 0.199660, -0.022344, 192.228149, -45.717834, -846.279480
1607733815.497134, 0.379930, -1.073650, -9.650279, -0.041685, 0.072725, 0.040547, 192.758667, -45.659363, -845.890991
1607733815.563, 0.678158, -1.049857, -9.653421, -0.036143, 0.122333, 0.014433, 192.111465, -45.873260, -845.581970
1607733815.6462169, 0.855329, -1.005265, -9.753080, 0.015454, 0.443360, 0.129425, 193.072021, -45.850449, -845.955688
1607733815.71736, 0.708534, -0.746841, -9.943718, -0.312432, 0.208372, 0.088223, 193.493286, -46.316422, -845.568970
1607733815.78737, 0.818967, -1.234810, -9.728390, 0.046759, 0.114048, -0.024540, 192.606201, -46.384735, -844.608643
1607733815.8573918, 0.811185, -0.619949, -9.071630, -0.108581, 0.059506, -0.012947, 193.411087, -45.655457, -844.584778
1607733815.92751, 0.834978, -0.654216, -9.647735, -0.257782, 0.023211, 0.046599, 193.205765, -45.143555, -845.098572
1607733815.997463, 0.837073, -0.599149, -9.811438, 0.222260, 0.114219, 0.032696, 193.584183, -45.189362, -844.409790
1607733816.063473, 0.813131, -0.360327, -9.970054, -0.193197, 0.199292, 0.095456, 193.446503, -45.189133, -844.826416
1607733816.136549, 1.062726, -0.413598, -9.835081, 0.553643, -0.048723, -0.104550, 193.838760, -45.636230, -844.779602
1607733816.207508, 0.542586, -0.700304, -9.454403, -0.388076, 0.117674, 0.158454, 192.416916, -45.644073, -845.151184
1607733816.2802958, 0.662446, -0.691775, -9.628581, 0.117950, 0.080166, -0.044404, 193.602264, -45.828247, -845.098145
1607733816.349056, 0.525527, -0.569371, -9.862764, -0.025064, -0.326550, 0.074067, 193.152725, -45.543716, -845.728394
1607733816.420333, 0.646285, -0.617854, -9.873688, -0.516871, -1.122202, 0.007910, 191.996750, -45.564255, -845.432556
1607733816.491636, -0.494403, -0.306458, -9.892841, 0.632550, -2.327053, -0.475154, 190.675659, -44.780807, -847.230042
1607733816.566107, -1.269077, 0.073023, -9.716419, 0.390453, -2.779061, 0.032539, 187.785172, -44.100266, -850.068970
1607733816.6366482, -2.806902, -0.411354, -9.594913, 0.126237, -1.769285, -0.377367, 181.119034, -45.010056, -855.065613
1607733816.700844, -5.451448, -1.269226, -7.841010, -0.179038, -1.948630, 0.036636, 170.790176, -46.162430, -858.434448
1607733816.7843208, -6.357354, -1.331475, -6.038925, 0.295206, -1.147426, -0.146191, 165.719742, -45.098328, -859.276611
1607733816.855931, -7.211485, -0.927604, -6.436362, 0.163303, -1.173113, 0.119243, 162.643524, -45.036163, -858.947144
1607733816.926774, -7.472303, -1.635389, -5.206192, -0.127676, -0.167657, 0.468735, 157.622223, -45.915085, -858.893677
1607733816.997915, -8.150162, -1.178097, -5.077653, -0.007271, -0.859482, 0.000556, 156.710846, -45.708069, -857.831238
1607733817.057158, -8.570494, -0.548871, -5.317223, -0.074865, -0.326574, 0.229443, 155.259323, -45.399887, -857.389404
1607733817.127938, -8.961198, -0.371550, -4.171148, 0.125132, -0.426300, 0.030368, 153.644501, -45.465500, -856.298462
1607733817.2115211, -9.035268, -0.613813, -3.717297, -0.007566, -0.361384, 0.012664, 152.741074, -45.461304, -856.606018
1607733817.283224, -8.960898, -0.293739, -3.446453, 0.067140, -0.316986, 0.029321, 151.380737, -45.920685, -855.435425
1607733817.3527222, -9.111284, -0.555006, -3.070115, 0.019214, -0.159902, 0.002425, 148.838623, -46.479080, -854.681396
1607733817.423027, -9.469816, -0.515950, -3.211672, -0.013663, -0.174833, -0.027572, 148.094101, -46.575012, -854.247742
1607733817.492175, -9.139566, -0.654964, -2.752135, -0.028932, 0.018543, 0.062972, 148.187332, -46.881561, -854.013306
1607733817.563678, -9.421932, -0.109385, -2.905962, 0.054099, -0.106174, 0.030487, 146.726288, -47.487701, -853.348145
1607733817.621032, -9.333945, -0.624288, -2.518850, 0.146539, -0.115054, -0.069573, 146.493759, -47.789841, -853.093018
1607733817.691263, -9.560646, -0.229394, -2.694075, 0.020034, 0.012141, 0.095268, 145.530441, -47.960480, -852.981079
