"1";"gyro_xout";"gyro_yout";"gyro_zout";"accel_xout";"accel_yout";"accel_zout"
"1287";"-15";"299";"115";"-1428";"-980";"15920"
"1288";"-215";"354";"2";"-1308";"-1024";"15760"
"1289";"968";"344";"243";"-1376";"-948";"16024"
"1290";"1733";"328";"239";"-1104";"-668";"16132"
"1291";"2262";"784";"-2164";"-1428";"-1260";"15900"
"1292";"1272";"273";"-4588";"-1368";"824";"15988"
"1293";"-83";"269";"-1620";"-1512";"1140";"16276"
"1294";"-186";"411";"111";"-1428";"24";"15956"
"1295";"697";"513";"197";"-1104";"208";"15992"
"1296";"1372";"691";"1034";"-1324";"996";"15592"
"1297";"-280";"933";"-18";"-1408";"1152";"15328"
"1298";"-1102";"273";"-46";"-1556";"396";"15796"
"1299";"630";"40";"184";"-352";"244";"16144"
"1300";"821";"463";"126";"-1412";"1004";"15792"
"1301";"1052";"605";"246";"-1388";"552";"15960"
"1302";"573";"499";"187";"-1340";"868";"15852"
"1303";"-239";"259";"55";"-1448";"972";"15952"
"1304";"-319";"346";"37";"-1476";"612";"15632"
"1305";"403";"277";"148";"-1372";"680";"15820"
"1306";"301";"378";"138";"-1284";"760";"15832"
"1307";"-89";"263";"68";"-1444";"620";"15792"
"1308";"369";"430";"224";"-1452";"672";"16060"
"1309";"302";"385";"250";"-1436";"740";"15940"
"1310";"849";"85";"226";"-1336";"912";"15948"
"1311";"796";"577";"659";"-1392";"884";"16088"
"1312";"685";"308";"163";"-1396";"1180";"15768"
"1313";"620";"253";"288";"-1428";"1252";"15760"
"1314";"267";"462";"172";"-1508";"1424";"15768"
"1315";"330";"265";"137";"-1512";"1388";"15680"
"1316";"476";"366";"164";"-1296";"1432";"16080"
"1317";"162";"257";"129";"-1060";"1520";"15888"
"1318";"274";"593";"155";"-1460";"1736";"15728"
"1319";"797";"603";"382";"-1388";"1524";"15788"
"1320";"1108";"573";"492";"-1460";"1996";"15800"
"1321";"1249";"583";"676";"-1444";"2164";"15532"
"1322";"791";"526";"374";"-1564";"2544";"15564"
"1323";"370";"336";"285";"-1512";"2496";"15680"
"1324";"828";"180";"227";"-1304";"2692";"15640"
"1325";"505";"327";"116";"-1308";"3056";"15776"
"1326";"180";"424";"104";"-1464";"2568";"15604"
"1327";"644";"260";"236";"-1772";"2976";"15524"
"1328";"379";"288";"180";"-1396";"3000";"15580"
"1329";"671";"455";"202";"-1440";"3108";"15572"
"1330";"565";"394";"192";"-1440";"2856";"15456"
"1331";"738";"369";"254";"-1252";"3544";"15720"
"1332";"252";"863";"249";"-1584";"2796";"17764"
"1333";"-1151";"100";"-32";"-1408";"3724";"15712"
