time,X_value,Y_value,Z_value
Started:,12월 10 2020,11:20:30:490, 
0.0000,0.00000,0.00000,0.00000
0.0016,25.31551,-55.12128,30.60200
0.0487,0.39796,-0.25550,-3.05252
0.1014,1.52534,0.15674,-5.70789
0.1526,2.85511,1.27998,-7.21030
0.2045,3.48620,2.03063,-8.73262
0.2565,3.75454,3.23062,-8.80820
0.3087,4.86163,3.01439,-7.95389
0.3618,5.41528,0.70205,-7.61785
0.4106,5.17952,0.42332,-6.88667
0.4625,4.65716,1.40233,-6.82432
0.5146,3.66660,0.20452,-6.92024
0.5724,2.61619,-0.50316,-8.17449
0.6191,2.42505,-0.02287,-8.76925
0.6715,2.34829,1.24117,-9.26077
0.7229,1.40405,1.45032,-9.77496
0.7921,0.77118,2.18890,-10.18068
0.8276,-0.40492,3.01824,-10.87169
0.8786,-0.05026,3.14052,-11.78072
0.9321,0.72217,4.16427,-12.98213
0.9833,2.02018,3.69995,-13.47626
1.0348,1.99332,3.44502,-13.98300
1.0867,1.87640,3.98697,-15.00888
1.1389,1.81242,4.84399,-15.29382
1.1907,1.97476,5.47133,-15.70706
1.2507,1.94966,5.42933,-15.44130
1.2974,1.30254,5.72424,-14.70176
1.3467,1.19594,4.41234,-14.08054
1.3989,0.79669,3.52988,-13.03572
1.4546,0.70833,3.70932,-12.65198
1.5047,0.48688,2.53850,-11.92025
1.5551,0.02009,2.87715,-11.32350
1.6075,-0.56770,4.12612,-10.98656
1.6627,-1.18231,4.49237,-10.50816
1.7108,-2.44433,5.18905,-9.72022
1.7640,-3.52459,5.27994,-9.31723
1.8154,-4.51928,6.04616,-10.15946
1.8691,-4.82562,5.68558,-11.48992
1.9206,-3.86012,5.83950,-12.19546
1.9712,-3.34004,5.08991,-12.29930
2.0227,-3.23370,4.59060,-12.45252
2.0748,-2.31899,5.14500,-12.96938
2.1275,-1.39787,6.21830,-13.00546
2.1787,-1.46260,6.11959,-13.45609
2.2314,-0.79929,6.19021,-12.82050
2.2852,1.19564,6.57740,-12.23081
2.3350,1.66157,5.01766,-11.33663
2.3892,0.11414,4.82466,-10.66216
2.4395,0.43206,4.56951,-9.76813
2.4906,0.66917,3.37136,-8.63664
2.5450,-0.27889,3.30690,-8.64222
2.5951,-0.72990,4.36876,-8.70538
2.6508,-0.57504,5.30998,-8.63409
2.6998,-2.28595,5.72503,-8.42912
2.7509,-3.39240,6.10301,-8.59764
2.8042,-3.97725,6.06085,-9.78516
2.8549,-3.44402,5.49824,-10.99260
2.9074,-2.22759,5.50552,-12.29478
2.9601,-2.27263,4.24251,-12.86442
3.0121,-2.22314,3.40588,-13.47068
3.0636,-1.43694,4.20612,-13.94372
3.1148,-0.83228,4.58768,-14.49683
3.1702,-0.15002,4.44018,-14.45549
3.2231,-0.06582,4.58142,-13.99265
3.2718,1.04567,3.50511,-14.24495
3.3227,0.79801,2.13699,-13.36911
3.3758,0.49713,3.95825,-13.90775
3.4271,1.18794,3.28011,-13.12202
