,text,intent,label,convert_ls,token_text
0,운행시작해,운행시작,0,운행 시작해,"['운행', '시작하']"
1,운행시작하자,운행시작,0,운행 시작하자,"['운행', '시작']"
2,운행하자,운행시작,0,운행하자,['운행']
3,운행해,운행시작,0,운행해,['운행']
4,운행시작해주세요,운행시작,0,운행 시작해주세요,"['운행', '시작하']"
5,운행을 시작해,운행시작,0,운행을 시작해,"['운행', '시작하']"
6,운행을 시작하자,운행시작,0,운행을 시작하자,"['운행', '시작']"
7,운행을 하자,운행시작,0,운행을 하자,"['운행', '하자']"
8,운행을 해,운행시작,0,운행을 해,"['운행', '해']"
9,배달을 시작해주세요,운행시작,0,배달을 시작해주세요,"['배달', '시작하']"
10,배달을 시작해,운행시작,0,배달을 시작해,"['배달', '시작하']"
11,배달을 시작하자,운행시작,0,배달을 시작하자,"['배달', '시작']"
12,배달을 하자,운행시작,0,배달을 하자,"['배달', '하자']"
13,배달을 해,운행시작,0,배달을 해,"['배달', '해']"
14,배달을 시작해주세요,운행시작,0,배달을 시작해주세요,"['배달', '시작하']"
15,배달시작해,운행시작,0,배달 시작해,"['배달', '시작하']"
16,배달시작하자,운행시작,0,배달 시작하자,"['배달', '시작']"
17,배달하자,운행시작,0,배달하자,['배달']
18,배달해,운행시작,0,배달해,['배달']
19,배달시작해주세요,운행시작,0,배달 시작해주세요,"['배달', '시작하']"
20,식당에 전화해줘,가게전화,1,식당에 전화해줘,"['식당', '전화']"
21,식당에 전화하자,가게전화,1,식당에 전화하자,"['식당', '전화']"
22,식당에 전화,가게전화,1,식당에 전화,"['식당', '전화']"
23,식당전화해라,가게전화,1,식당 전화해라,"['식당', '전', '화해']"
24,식당전화해주세요,가게전화,1,식당 전화해주세요,"['식당', '전화']"
25,가게에 전화해줘,가게전화,1,가게에 전화해줘,"['가게', '전화']"
26,가게에 전화하자,가게전화,1,가게에 전화하자,"['가게', '전화']"
27,가게에 전화,가게전화,1,가게에 전화,"['가게', '전화']"
28,가게전화해라,가게전화,1,가게 전화해라,"['가게', '전', '화해']"
29,가게전화해주세요,가게전화,1,가게 전화해주세요,"['가게', '전화']"
30,음식점에 전화해줘,가게전화,1,음식점에 전화해줘,"['음식점', '전화']"
31,음식점에 전화하자,가게전화,1,음식점에 전화하자,"['음식점', '전화']"
32,음식점에 전화,가게전화,1,음식점에 전화,"['음식점', '전화']"
33,음식점전화해라,가게전화,1,음식점 전화해라,"['음식점', '전', '화해']"
34,음식점전화해주세요,가게전화,1,음식점 전화해주세요,"['음식점', '전화']"
35,식당도착,가게도착,2,식당 도착,"['식당', '도착']"
36,식당도착했어,가게도착,2,식당 도착했어,"['식당', '도착']"
37,식당도착했음,가게도착,2,식당 도착했음,"['식당', '도착']"
38,식당도착했다,가게도착,2,식당 도착했다,"['식당', '도착']"
39,식당왔어,가게도착,2,식당 왔어,"['식당', '오']"
40,식당에 도착,가게도착,2,식당에 도착,"['식당', '도착']"
41,식당에 도착했어,가게도착,2,식당에 도착했어,"['식당', '도착']"
42,식당에 도착했음,가게도착,2,식당에 도착했음,"['식당', '도착']"
43,식당에 도착했다,가게도착,2,식당에 도착했다,"['식당', '도착']"
44,식당에 왔어,가게도착,2,식당에 왔어,"['식당', '오']"
45,음식점도착,가게도착,2,음식점 도착,"['음식점', '도착']"
46,음식점도착했어,가게도착,2,음식점 도착했어,"['음식점', '도착']"
47,음식점도착했음,가게도착,2,음식점 도착했음,"['음식점', '도착']"
48,음식점도착했다,가게도착,2,음식점 도착했다,"['음식점', '도착']"
49,음식점왔어,가게도착,2,음식점 왔어,"['음식점', '오']"
50,음식점에 도착,가게도착,2,음식점에 도착,"['음식점', '도착']"
51,음식점에 도착했어,가게도착,2,음식점에 도착했어,"['음식점', '도착']"
52,음식점에 도착했음,가게도착,2,음식점에 도착했음,"['음식점', '도착']"
53,음식점에 도착했다,가게도착,2,음식점에 도착했다,"['음식점', '도착']"
54,음식점에 왔어,가게도착,2,음식점에 왔어,"['음식점', '오']"
55,가게도착,가게도착,2,가게 도착,"['가게', '도착']"
56,가게도착했어,가게도착,2,가게 도착했어,"['가게', '도착']"
57,가게도착했음,가게도착,2,가게 도착했음,"['가게', '도착']"
58,가게도착했다,가게도착,2,가게 도착했다,"['가게', '도착']"
59,가게왔어,가게도착,2,가게 왔어,"['가게', '오']"
60,가게에 도착,가게도착,2,가게에 도착,"['가게', '도착']"
61,가게에 도착했어,가게도착,2,가게에 도착했어,"['가게', '도착']"
62,가게에 도착했음,가게도착,2,가게에 도착했음,"['가게', '도착']"
63,가게에 도착했다,가게도착,2,가게에 도착했다,"['가게', '도착']"
64,가게에 왔어,가게도착,2,가게에 왔어,"['가게', '오']"
65,픽업했어,픽업완료,3,픽업했어,['픽업']
66,픽업완료,픽업완료,3,픽업 완료,"['픽업', '완료']"
